"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 02 12:39:56 ICT 2024","Sat Mar 02 12:40:12 ICT 2024","15903","dev","tests/usePageObjects.spec.ts","","","","Navigation to from page",""
"passed","Sat Mar 02 12:39:56 ICT 2024","Sat Mar 02 12:40:11 ICT 2024","14992","dev","tests/usePageObjects.spec.ts","","","","Parametrized method",""
